"","category","name","price","ratings","no_of_reviews"
"1","Lipstick","Maybelline New York Liquid Lipstick, Liquid Lipstick with 16 Hour Hold and Shiny Finish, Super Stay Vinyl Ink, No. 35 Cheeky, 4.2 ml","$26.27","4.4 out of 5 stars","13,381"
"2","Lipstick","L'Oréal Paris Colour Riche Satin Lipstick with a Hydrating and Nourishing Feel with an Elegant Satin Finish, 630 Beige A Nu","$3.00","4.4 out of 5 stars","6,664"
"3","Lipstick","Rimmel London Lasting Finish Intense Wear Lipstick, Alarm","$20.06","4.5 out of 5 stars","9,712"
"4","Lipstick","NYX PROFESSIONAL MAKEUP Smooth Whip Matte Lip Cream, Vegan Liquid Lipstick - Kitty Belly (Peach Nude)","$37.98","4.2 out of 5 stars","450"
"5","Lipstick","Maybelline Colour Sensational Made for All Lipstick - Ruby For Me 385","$39.89","4.3 out of 5 stars","8,435"
"6","Lipstick","Rimmel London Lasting Finish Lipstick #006 - Pink Blush","$41.19","4.3 out of 5 stars","4,720"
"7","Lipstick","Revlon Super Lustrous Lipstick, Fire & Ice","$36.68","4.5 out of 5 stars","24,984"
"8","Lipstick","Maybelline New York Superstay Vinyl Ink Longwear Liquid Lipstick in Unrivaled","$57.44","4.4 out of 5 stars","946"
"9","Lipstick","L'Oreal Paris Infallible Le Matte Resistance Liquid Lipstick, 420 Le Rouge Paris","$35.60","4.4 out of 5 stars","787"
"10","Lipstick","NYX Professional Makeup Lip Lingerie XXL 04 Flaunt It",NA,"4.2 out of 5 stars","4,470"
"11","Lipstick","Max Factor Colour Elixir Moisture Kiss Lipstick #075 Ruby Tuesday 4G",NA,"4.4 out of 5 stars","1,651"
"12","Lipstick","L'Oreal Paris Color Riche Intense Volume Matte Lipstick",NA,"4.4 out of 5 stars","1,727"
"13","Lipstick","L'Oréal Paris Color Riche Satin Lipstick Les Nus 173 Impertine",NA,"4.4 out of 5 stars","596"
"14","Lipstick","L'Oreal Paris Lipstick, Colour And Shine, Infallible 2-Step Lipstick, 312 Incessant Russet",NA,"4.5 out of 5 stars","2,740"
"15","Lipstick","BINGBRUSH 3 Pcs Color Changing Change Lipstick Lip Balm,Korean Magic Lipstick Color Change Changing Lip Tint Tinted Stain Gloss Balm Long Lasting Waterproof Moisturizer Lipstick Set for Women",NA,"4.1 out of 5 stars","1,248"
"16","Lipstick","L'Oréal Paris Colour Riche Ultra-Matte Nude Lipstick 01 No Obstacle",NA,"4.5 out of 5 stars","3,291"
"17","Lipstick","L'Oréal Paris Infallible 2 Step Lipstick Parisian Nude 804 Metro Proof Rose",NA,"4.5 out of 5 stars","331"
"18","Lipstick","KIKO Milano Green Me Matte Lipstick 103 | Comfort Lipstick with Matte Finish",NA,"4.0 out of 5 stars","37"
"19","Lipstick","Essence of Argan Moisturizing Deep Red Lipstick - Enriched with 100% Pure Organic Argan Oil, Shea Butter - Voluptuous Sexy Lips - Sunscreen, Hydration & Nourishing - Long Lasting Lip Balm - Cabernet",NA,"4.1 out of 5 stars","162"
"20","Lipstick","Revlon Super Lustrous The Luscious Mattes Lipstick, Pick Me Up (003), 21 g",NA,"4.2 out of 5 stars","8,051"
"21","Lipstick","Revlon Super Lustrous™ Lipstick, Softsilver Rose",NA,"4.6 out of 5 stars","1,077"
"22","Lipstick","Lipstick & Liquor",NA,"5.0 out of 5 stars","2"
"23","Lipstick","NYX Professional Makeup Soft Matte Lip Cream - Leon",NA,"4.1 out of 5 stars","11,616"
"24","Lipstick","L'Oréal Paris Rouge Signature Matte Lip Ink 116 I Explore",NA,"4.2 out of 5 stars","8,602"
"25","Lipstick","6 Colours Matte Lipstick Set, Velvet Nude Moisturiser Smooth Lipstick Kit, Non-Stick Cup Does Not Fade Durable Waterproof Lipstick Makeup Gift Set",NA,"3.8 out of 5 stars","244"
"26","Lipstick","Maybelline New York Make-Up Lipstick Colour Sensational Nudes Lipstick Naked Brown/Natural Skin Tone with Nourishing Effect 1 x 5 g",NA,"4.3 out of 5 stars","5,980"
"27","Lipstick","ETUDE Dear Darling Water Tint Lipstick 9.5 g, 01 Strawberry Ade",NA,"4.0 out of 5 stars","1,395"
"28","Lipstick","CoverGirl Full Spectrum Color Idol Satin Lipstick - Groupie For Women 0.12 oz Lipstick",NA,"4.2 out of 5 stars","223"
"29","Lipstick","NYX Professional Makeup Suede Matte Lipstick - Brunch Me",NA,"4.4 out of 5 stars","1,921"
"30","Lipstick","Bourjois Paris Rouge Fabuleux Lipstick - 15 Plum Plum Pidou",NA,"4.0 out of 5 stars","116"
"31","Lipstick","Mac Ruby Woo Lipstick 3 G / 0.1 Us Oz",NA,"4.1 out of 5 stars","77"
"32","Lipstick","L’Oréal Paris Rouge Signature Empowereds Liquid Lipstick – Discovered 141",NA,"4.2 out of 5 stars","4"
"33","Lipstick","L'Oreal Paris Colour Riche Satin Lipstick 112 Paris Paris",NA,"4.5 out of 5 stars","484"
"34","Lipstick","Maybelline New York Superstay Vinyl Ink Liquid Lipstick 4.2 ml, Upbeat",NA,"3.8 out of 5 stars","103"
"35","Lipstick","L'Oreal Paris Colour Riche 302 Bois De Rose",NA,"4.4 out of 5 stars","3,739"
"36","Lipstick","Covergirl Exhibitionist Ultra Matte Lipstick #600 Stay With Me 2.8G",NA,"4.1 out of 5 stars","518"
"37","Lipstick","Revlon Super Lustrous Lipstick, Sky Line Pink",NA,"4.0 out of 5 stars","392"
