"","category","name","price","ratings","no_of_reviews"
"1","Dress","Women's 2023 Summer Puff Sleeve Smocked Floral Dress Crewneck Lace Flowy Tiered Midi Dresses","$218.66","4.2 out of 5 stars","1,741"
"2","Dress","Womens Summer Floral Print Puff Sleeves Vintage Ruffles Midi Dress","$56.30","4.1 out of 5 stars","2,363"
"3","Dress","Cotton Muslin Dress for Women Summer Casual Party Holiday Beach Lace Long Robe Dresses Vestido","$37.17","4.6 out of 5 stars","3"
"4","Dress","Women's V Neck Short Sleeve Ruched Drawstring Side Split Party Bodycon Midi Dress","$87.80","4.3 out of 5 stars","1,200"
"5","Dress","SWFO221069 Women's Lace Dress","$121.04","4.5 out of 5 stars","4"
"6","Dress","Cut Out Dresses for Women Summer Sleeveless Cutout Waist Bodycon Mini Tank Dress Sundress","$73.75","4.3 out of 5 stars","5,514"
"7","Dress","Women's Knee-Length Beach Dress Long Sleeves Swing Tunic Casual Dresses Summer Loose Dress Floral Print V-Neck Beach Dress Mini Dress Sexy Elegant Boho Women Blouse Dress","$67.85","4.5 out of 5 stars","170"
"8","Dress","Women's Asymmetrical Shirred Tulip Dress","$56.57","4.2 out of 5 stars","595"
"9","Dress","Women Sexy Twist Knot Front Ribbed Knit Bodycon Bandeau Tube Dress Casual Solid Strapless Maxi Long Dress",NA,"4.3 out of 5 stars","675"
"10","Dress","Women's",NA,"4.0 out of 5 stars","658"
"11","Dress","Women's 2023 Summer Boho Spaghetti Strap Square Neck Solid Color Ruffle A Line Beach Long Maxi Dress",NA,"4.3 out of 5 stars","198"
"12","Dress","Women's Short Sleeve Collared Polo Dress",NA,"3.8 out of 5 stars","15"
"13","Dress","Women Casual Summer Short Ruffles Tiered Sleeve Smocked Midi Dresses Bohemian Floral V Neck Wedding Guest Long Dresses",NA,"4.2 out of 5 stars","1,790"
"14","Dress","Satin Silk Backless Tube Tops Maxi Dress for Women Low Back Hollow Out Elegant Strapless Long Dresses Wedding Guest",NA,"4.0 out of 5 stars","416"
"15","Dress","Cocktail Plus Size Dresses Women Casual Long Sleeves O Neck Slit Irregular Hem Plus Size Long Dress Wool Dresses for Women Plus Size",NA,"3.9 out of 5 stars","1,513"
"16","Dress","Womens Casual Midi Dresses Solid V Neck Short Sleeve Button Shirt Belted Dress with Pockets for Spring Summer",NA,"4.0 out of 5 stars","308"
"17","Dress","Women's Short Sleeved Princess Seamed Sheath Dress",NA,"3.9 out of 5 stars","72"
"18","Dress","Womens Puff Sleeve Square Neck Puffy Dress Babydoll Mesh Mini Dress High Rise Flare Organza Party Dress",NA,"4.3 out of 5 stars","33,291"
"19","Dress","Women's Casual, Long Sleeve",NA,"3.2 out of 5 stars","4"
"20","Dress","Spliced Tassel Sleeveless A-line Dress for Women's Tassel Skirt",NA,"4.1 out of 5 stars","493"
"21","Dress","Indian Women's Mustard Poly Silk Ethnic Dress",NA,"2.5 out of 5 stars","3"
"22","Dress","Bodycon Dress for Woman Long Sleeve Knee-Length Ruffle Sleeve Off Shoulder Evening Dress",NA,"3.9 out of 5 stars","17,510"
"23","Dress","Women's Casual Shirt Dress Ruched 3/4 Sleeve Button Up Mini Dresses",NA,"4.3 out of 5 stars","53"
"24","Dress","Women's Retro Summer Midi Dresses Polka Dot Printed V Neck Short Sleeve Beach Party Dress High Waist A-Line Sun Dress",NA,"4.0 out of 5 stars","292"
"25","Dress","Women's Short Sleeve V-Neck Dress",NA,"4.2 out of 5 stars","13,647"
"26","Dress","Women's Casual Loose Maxi Dress Sleeveless Slit Summer Beach Dress with Pockets",NA,"4.3 out of 5 stars","161"
"27","Dress","Women's Vintage Sleeveless Solid Floral Ruched Summer Cute A-Line Flowy Swing Midi Dress",NA,"3.8 out of 5 stars","447"
"28","Dress","Women's Dress",NA,"3.9 out of 5 stars","134"
"29","Dress","Women's Floral Button Down Vintage Polka Dots Dresses Collar Tie Belted Shirt Dress",NA,"3.9 out of 5 stars","48"
"30","Dress","Women's Lace Flowy Mini Dress Y2k Sleevelss Backless Slip Dress Drop Waist Short Tunic Dress Lingerie Nightgown",NA,"4.2 out of 5 stars","152"
"31","Dress","Women's Jewel Neck Scuba Crepe Dress",NA,"3.8 out of 5 stars","7"
"32","Dress","Series 7",NA,"4.4 out of 5 stars","43"
"33","Dress","Womens Dresses V-Neck Spaghetti Strap Bowknot Backless Sleeveless Lace Mini Swing Skater Dress",NA,"3.8 out of 5 stars","25"
"34","Dress","Womens Plus Size Dresses Womens Casual Sweatshirt Dress Long Sleeve Mock Neck Wrap Hem Loose Fall Winter Long Pullover Dresses Older Women Skirts",NA,"4 Stars & Up",NA
"35","Dress","Womens Tie Dye Dress Plus Size Casual Boho Sundress Summer Sleeveless Dresses",NA,"3 Stars & Up",NA
"36","Dress","Women's Star Heart Floral Print Casual Square Neck Short Sleeve Flare Dress",NA,"2 Stars & Up",NA
"37","Dress","Women's Autumn Winter Cotton Long Sleeves Elegant Knitted Bodycon Tie Waist Sweater Pencil Dress",NA,"1 Star & Up",NA
