"","...1","category","name","price","ratings","no_of_reviews"
"1",1,"Lipstick","Elizabeth Arden Beautiful Colour Moisturising Lipstick in Pale Petal, 4 ml, Nourishing Lip Colour, Water & Smudge-Proof, Up to 12 Hours Hold, Lipstick for Women","$40.20","4.2 out of 5 stars",50
"2",2,"Lipstick","Rimmel London Provocalips 16hr Kiss-Proof Lip Color - Two-Step Liquid Lipstick to Lock in Color and Shine - 750 Heart Breaker, .14 fl.oz.","$27.67","4.4 out of 5 stars",8987
"3",3,"Lipstick","KIKO Milano Green Me Matte Lipstick 100 | Comfort Lipstick with Matte Finish","$36.78","4.3 out of 5 stars",110
"4",4,"Lipstick","L'Oréal Paris Color Riche 118 French Made","$20.84","4.1 out of 5 stars",378
"5",5,"Lipstick","essence ELECTRIC GLOW colour changing lipstick","$64.57","4.2 out of 5 stars",1291
"6",6,"Lipstick","MAYBELLINE Lip SP Stay Vinil Ink 61 Dangerous Mahogany Brown","$21.34","4.0 out of 5 stars",1064
"7",7,"Lipstick","KIKO Milano Long Lasting Colour Lip Marker 109 | Lipstick No Transfer, Natural Tattoo Effect and Extremely Long Lasting (10 Hours)","$34.07","3.7 out of 5 stars",1714
"8",8,"Lipstick","Revlon Super Lustrous Lipstick Violet Frenzy 0.15 oz./4.2 g. Violet Frenzy","$22.56","4.4 out of 5 stars",15258
"9",9,"Lipstick","Rimmel London Stay Matte Liquid Lip Colour #700 - Be My Baby","$26.62","3.9 out of 5 stars",541
"10",10,"Lipstick","NYX Professional Makeup Powder Puff Lippie - Squad Goals","$42.02","4.3 out of 5 stars",8100
"11",11,"Lipstick","Max Factor Colour Elixir Moisture Kiss Lipstick #015 Nude Rose 4G","$9.02","4.3 out of 5 stars",196
"12",12,"Lipstick","Honest Lip Crayon Lush Sheer - Rose Women Lipstick 0.105 oz","$25.43","4.1 out of 5 stars",889
"13",13,"Lipstick","L.A. Colors Moisture Rich Lip Color, Pink Parfait, 1 Ounce","$57.44","4.0 out of 5 stars",494
"14",14,"Lipstick","Rimmel London Lasting Finish Matte Lipstick 2.3 g, 600 Tangerina",NA,"3.7 out of 5 stars",38
"15",15,"Lipstick","Yves Saint Laurent Rouge Volupte Shine Oil-in-stick Lipstick",NA,"3.8 out of 5 stars",84
"16",16,"Lipstick","Gireatick 2Pcs Magic Color Change Lipstick Set, Blue Changed into Pink Lip Gloss, Moisturizer Long Lasting Nutritious Lip Balm for Women Girls",NA,"4.6 out of 5 stars",2932
"17",17,"Lipstick","Maybelline SuperStay Matte Ink Liquid Lipstick, Long-lasting Matte Finish Liquid Lip Makeup, Coffee Edition, Highly Pigmented Color, Hazelnut Hypnotizer, Fl Oz",NA,"4.3 out of 5 stars",2327
"18",18,"Lipstick","Revlon Super Lustrous Lipstick, 042 Lilac Mist, 4.2 g",NA,"4.4 out of 5 stars",5042
"19",19,"Lipstick","Revlon Ultra HD Matte Lipcolor, HD Kisses",NA,"4.3 out of 5 stars",455
"20",20,"Lipstick","L'Oreal Color Riche Lipstick",NA,"4.3 out of 5 stars",2584
"21",21,"Lipstick","Maybelline Super Stay Vinyl Ink Longwear Liquid Lipcolor, Punchy, 4.1 ml",NA,"4.4 out of 5 stars",4126
"22",22,"Lipstick","L'Oréal Paris Colour Riche Shine Addiction Lipstick Enriched with Vivid Pigments with a Hydrating Feel, 245 High On Craze",NA,"4.0 out of 5 stars",302
"23",23,"Lipstick","L'Oréal Paris Colour Riche Matte Lipstick, Velvet Smooth, with Precious Camellia and Jojoba Oils, 655 Copper Clutch",NA,"4.4 out of 5 stars",9268
"24",24,"Lipstick","Rimmel London Lasting Finish Extreme Lipstick 2.3 g, 700 X-Tremely Bare",NA,"4.2 out of 5 stars",21587
