"","category","name","reviewer","review","date","ratings"
"1","Lipstick","KIKO Milano Unlimited Stylo 01 | Long-Lasting 10-Hour Hold Creamy Lipstick","Margaret Atkinson","Lovely shade of lipstick and package is nice looks expensive but it doesn’t stay on long but I don’t think many of the creamy ones do the Matt ones tend to stay on longer I find","Reviewed in the United Kingdom on 14 December 2023","4.2 out of 5 stars"
"2","Lipstick","KIKO Milano Unlimited Stylo 01 | Long-Lasting 10-Hour Hold Creamy Lipstick","C. Don","I bought the classic mauve , it’s darker than it looks in the picture so I can’t use it for day wear but it’s a nice smooth lipstick & stays on well . I’d recommend it .","Reviewed in the United Kingdom on 8 September 2023","4.0 out of 5 stars"
"3","Lipstick","KIKO Milano Unlimited Stylo 01 | Long-Lasting 10-Hour Hold Creamy Lipstick","Sofie","Heel mooi kleurtje, blijft lang zitten!","Reviewed in Belgium on 11 December 2023","4.0 out of 5 stars"
"4","Lipstick","KIKO Milano Unlimited Stylo 01 | Long-Lasting 10-Hour Hold Creamy Lipstick","Swatts","Completely different colour to what was shown","Reviewed in the United Kingdom on 21 February 2024","5.0 out of 5 stars"
"5","Lipstick","KIKO Milano Unlimited Stylo 01 | Long-Lasting 10-Hour Hold Creamy Lipstick","Andrius Pacevicius","Great quality, incorrect colour advertised.","Reviewed in the United Kingdom on 3 December 2023","1.0 out of 5 stars"
"6","Lipstick","KIKO Milano Unlimited Stylo 01 | Long-Lasting 10-Hour Hold Creamy Lipstick","Gregory Kaluzny","Belle pigmentation je recommande","Reviewed in France on 12 January 2024","1.0 out of 5 stars"
"7","Lipstick","KIKO Milano Unlimited Stylo 01 | Long-Lasting 10-Hour Hold Creamy Lipstick","Barny J","Such a super colour lovely texture lasts well and it’s all animal friendly..","Reviewed in the United Kingdom on 4 July 2023","5.0 out of 5 stars"
"8","Lipstick","KIKO Milano Unlimited Stylo 01 | Long-Lasting 10-Hour Hold Creamy Lipstick","Marzana Mahmood","I loved the creamy texture of this lipstick. The lipstick lasts for almost half a day! Absolutely love this.","Reviewed in the United Kingdom on 4 November 2023","5.0 out of 5 stars"
"9","Lipstick","KIKO Milano Unlimited Stylo 01 | Long-Lasting 10-Hour Hold Creamy Lipstick","Amazon Customer","Ok so my headline actually refers to another beauty manufacturer, but I wouldn't skimp or go elsewhere.  Kiko makeup is absolutely gorgeous and well worth buying.  Their lipsticks & lip glosses are divine.  What are you waiting for - get buying!!  (and no I'm not on commission and am a genuine customer!!)","Reviewed in the United Kingdom on 1 February 2024","5.0 out of 5 stars"
"10","Lipstick","KIKO Milano Unlimited Stylo 01 | Long-Lasting 10-Hour Hold Creamy Lipstick","Anna B","Ne ho acquistati due, un nude più rosato(03)ed uno più marrone (02).Molto confortevoli e a lunga tenuta. Non seccano le labbra. Il colore è bellissimo, la tenuta ottima.Assolutamente consigliato!Spedizione perfetta, come sempre.NB è un rossetto, però, non una tinta, quindi va via mangiando. Lascia un velo di colore uniforme.","Reviewed in Italy on 28 January 2024","5.0 out of 5 stars"
